DatasetSize,Processes,Total_ms,BasicStatistics_ms,Histogram_ms,Sorting_ms,PearsonCorrelation_ms,MovingAverage_ms,OutlierDetection_ms
1000000,4,126.3960,1.4951,0.9803,95.3277,0.9709,0.0051,0.5284
1000000,4,122.7309,1.9702,0.8879,96.3033,0.9067,0.0015,0.5598
100000,4,14.3337,0.3733,0.0718,7.2243,0.0823,0.0018,0.0471
500000,4,77.6386,1.4593,0.5246,55.2605,0.5945,0.0013,0.3033
1000000,4,147.5537,2.3332,1.2960,111.3699,1.6634,0.0028,0.6730
5000000,4,629.9792,5.5532,4.4758,486.4079,4.7178,0.0058,3.0105
10000000,4,1717.5132,14.9369,14.4615,1315.7404,10.3233,0.0015,5.6623
100000,4,23.4608,0.6978,0.1150,16.1089,0.1720,0.0032,0.0757
500000,4,81.6564,1.2697,0.4711,58.9220,0.3603,0.0011,0.1513
5000000,4,699.2263,5.6804,3.8237,558.3421,4.2392,0.0016,2.7402
