Task,DatasetSize,Time_ms
Basic Statistics,1000000,7.4072
Histogram,1000000,5.5865
Sorting,1000000,266.182
Pearson Correlation,1000000,4.6856
Moving Average,1000000,19.5219
Outlier Detection,1000000,1.5602
Total,1000000,365.311
Task,DatasetSize,Time_ms
Basic Statistics,10000000,65.8637
Histogram,10000000,38.1448
Sorting,10000000,2683.6
Pearson Correlation,10000000,36.584
Moving Average,10000000,455.302
Outlier Detection,10000000,25.5999
Total,10000000,3764.99
1000000,36.9340,4.1029,1.8605,143.6477,1.4951,4.7506,1.1914,193.9850
100000,3.5210,0.3163,0.1856,12.2127,0.1872,0.6155,0.1397,17.1790
500000,31.1164,2.9159,1.8182,102.2194,0.7742,2.6866,0.7208,142.2538
5000000,305.2406,31.5833,16.4061,1188.0316,9.8442,50.5783,11.1456,1612.8358
10000000,613.5824,65.3314,38.0296,2558.5764,31.2627,64.3349,11.4166,3382.5386
10000000,590.5724,66.6243,28.2342,2605.2901,27.1397,119.1877,21.8836,3458.9360
